"moh_id","moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
56,"Girandurukotte",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,13
286,"Giribawa",0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,1,0,1,2,1,0,0,0,1,1,24
174,"Godakawela",3,0,6,1,0,0,0,3,5,3,3,2,0,7,2,2,1,1,1,3,0,3,4,2,1,2,0,3,0,3,1,1,0,1,2,1,0,0,2,2,0,1,0,0,2,0,0,0,0,2,0,0,76
31,"Gomarankadawala",0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7
43,"Gonapinuwala",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,15
182,"Habaraduwa",0,0,0,1,0,0,0,2,1,2,2,1,0,0,0,0,0,0,2,1,1,4,1,0,2,0,3,2,0,1,0,1,2,0,3,2,1,4,4,0,0,0,0,0,0,2,3,1,1,0,1,3,54
192,"Hakmana",0,0,1,0,0,0,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
148,"Haldummull",0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,19
116,"Hali-Ela",0,2,1,1,0,0,3,1,1,4,2,3,1,0,0,0,0,8,3,0,0,0,1,1,0,0,2,0,4,2,1,1,2,1,1,0,2,1,1,1,1,1,1,0,2,0,1,0,1,0,1,0,59
80,"Hambantota",2,0,1,1,1,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,2,3,27
275,"Hanguranketha",0,1,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,2,1,1,1,0,0,0,2,2,0,0,1,2,0,1,0,2,0,0,0,0,0,0,3,2,0,33
278,"Hanwella",9,10,13,6,2,9,0,11,8,7,1,4,8,5,1,1,1,9,6,4,0,0,5,14,3,7,7,3,2,3,1,2,2,3,2,6,1,2,0,1,0,1,2,1,1,0,2,2,2,3,2,8,203
149,"Haputale",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,2,1,0,1,0,1,0,0,0,2,0,1,2,0,0,0,0,5,25
84,"Hasalaka(M",0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,2,0,1,1,1,0,25
282,"Hataraliyadda",0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,15
42,"Hikkaduwa",1,6,2,1,3,0,1,8,2,5,0,0,4,1,0,4,2,7,0,0,1,1,1,0,2,0,1,1,1,1,4,0,3,0,1,1,0,1,5,3,1,0,1,1,0,5,1,0,2,4,3,1,93
