,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
6316,KANKASANTURAI,26/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6317,JAFFNA,26/10/2013,29.2,30.9,27.5,0.0,1008.4 Hpa,201º(S),12,5/8,,SRI LANKA
6318,MULLAITTIVU,26/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6319,MANNAR,26/10/2013,28.4,30.5,26.4,0.0,1008.7 Hpa,229º(SW),15,5/8,,SRI LANKA
6320,VAVUNIYA,26/10/2013,28.7,33.5,23.9,0.0,1008.7 Hpa,236º(SW),7,4/8,,SRI LANKA
6321,TRINCOMALEE,26/10/2013,28.6,34.7,22.4,0.6,-,173º(S),7,5/8,,SRI LANKA
6322,ANURADHAPURA,26/10/2013,28.6,32.9,24.3,0.0,1009.2 Hpa,229º(SW),2,4/8,,SRI LANKA
6323,MAHA ILLUPPALLAMA,26/10/2013,27.9,32.5,23.4,0.0,1008.6 Hpa,196º(S),7,5/8,,SRI LANKA
6324,PUTTALAM,26/10/2013,27.9,31.0,24.8,0.0,1008.7 Hpa,194º(S),11,5/8,,SRI LANKA
6325,BATTICALOA,26/10/2013,28.4,31.7,25.0,1.6,1008.5 Hpa,96º(E),4,2/8,,SRI LANKA
6326,KURUNEGALA,26/10/2013,27.9,32.5,23.2,0.0,1008.2 Hpa,227º(SW),6,3/8,,SRI LANKA
6327,KANDY,26/10/2013,25.1,30.2,20.1,0.0,1009.6 Hpa,272º(W),1,1/8,,SRI LANKA
6328,KATUNAYAKE,26/10/2013,26.1,28.0,24.3,-,1009.8 Hpa,145º(SE),4,4/8,,SRI LANKA
6329,COLOMBO,26/10/2013,27.6,30.5,24.6,1.2,1009.7 Hpa,222º(SW),3,4/8,,SRI LANKA
6330,RATMALANA,26/10/2013,28.1,31.7,24.6,0.3,1009.5 Hpa,203º(SW),3,3/8,,SRI LANKA
6331,NUWARA ELIYA,26/10/2013,16.8,22.1,11.4,0.0,1493 m(850 Hpa),262º(W),3,2/8,,SRI LANKA
6332,POTTUVIL,26/10/2013,28.9,32.3,25.4,-,1007.9 Hpa,166º(S),7,4/8,,SRI LANKA
6333,BANDARAWELA,26/10/2013,21.4,25.7,17.0,0.0,1512 m(850 Hpa),-,0,3/8,,SRI LANKA
6334,BADULLA,26/10/2013,24.1,29.6,18.5,0.0,-,3º(N),3,2/8,,SRI LANKA
6335,RATNAPURA,26/10/2013,28.2,33.5,22.9,0.0,1008.4 Hpa,276º(W),1,2/8,,SRI LANKA
6336,GALLE,26/10/2013,26.7,29.4,24.0,0.1,1010.0 Hpa,283º(W),5,2/8,,SRI LANKA
6337,HAMBANTOTA,26/10/2013,27.1,30.2,24.1,0.1,1009.2 Hpa,239º(SW),12,3/8,,SRI LANKA
6338,KANKASANTURAI,27/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6339,JAFFNA,27/10/2013,28.9,31.4,26.3,0.0,1009.8 Hpa,210º(SW),12,7/8,,SRI LANKA
6340,MULLAITTIVU,27/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6341,MANNAR,27/10/2013,27.9,30.7,25.1,0.0,1009.9 Hpa,221º(SW),16,2/8,,SRI LANKA
6342,VAVUNIYA,27/10/2013,28.5,33.7,23.3,0.0,1010.0 Hpa,247º(SW),6,2/8,,SRI LANKA
6343,TRINCOMALEE,27/10/2013,30.1,35.8,24.5,-,-,209º(SW),7,4/8,,SRI LANKA
6344,ANURADHAPURA,27/10/2013,28.6,33.7,23.4,0.0,1010.3 Hpa,229º(SW),3,3/8,,SRI LANKA
6345,MAHA ILLUPPALLAMA,27/10/2013,27.3,32.6,22.0,0.0,1009.8 Hpa,239º(SW),6,4/8,,SRI LANKA
6346,PUTTALAM,27/10/2013,27.6,31.3,23.9,0.0,1009.8 Hpa,197º(S),10,3/8,,SRI LANKA
6347,BATTICALOA,27/10/2013,29.1,32.7,25.5,0.0,1009.5 Hpa,160º(S),3,2/8,,SRI LANKA
6348,KURUNEGALA,27/10/2013,27.0,32.2,21.8,0.0,1009.6 Hpa,218º(SW),5,3/8,,SRI LANKA
6349,KANDY,27/10/2013,24.6,30.1,19.1,0.2,1010.7 Hpa,295º(NW),1,3/8,,SRI LANKA
6350,KATUNAYAKE,27/10/2013,29.5,30.8,28.2,Tr,1010.9 Hpa,270º(W),6,6/8,,SRI LANKA
6351,COLOMBO,27/10/2013,27.8,30.6,24.9,0.0,1010.6 Hpa,213º(SW),3,6/8,,SRI LANKA
6352,RATMALANA,27/10/2013,28.1,31.6,24.5,0.0,1010.7 Hpa,191º(S),7,5/8,,SRI LANKA
6353,NUWARA ELIYA,27/10/2013,16.1,21.4,10.7,0.0,1501 m(850 Hpa),260º(W),4,3/8,,SRI LANKA
6354,POTTUVIL,27/10/2013,28.6,30.9,26.4,-,1009.7 Hpa,185º(S),6,5/8,,SRI LANKA
6355,BANDARAWELA,27/10/2013,21.5,25.9,17.1,21.7,1521 m(850 Hpa),270º(W),1,5/8,,SRI LANKA
6356,BADULLA,27/10/2013,23.1,28.9,17.2,26.2,-,123º(SE),2,5/8,,SRI LANKA
6357,RATNAPURA,27/10/2013,27.4,33.0,21.7,14.5,1010.6 Hpa,210º(SW),1,5/8,,SRI LANKA
6358,GALLE,27/10/2013,27.3,29.1,25.5,0.2,1011.1 Hpa,238º(SW),7,5/8,,SRI LANKA
6359,HAMBANTOTA,27/10/2013,27.9,31.0,24.7,0.0,1010.3 Hpa,239º(SW),12,6/8,,SRI LANKA
6360,KANKASANTURAI,28/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6361,JAFFNA,28/10/2013,28.9,30.7,27.2,0.0,1010.3 Hpa,210º(SW),10,7/8,,SRI LANKA
6362,MULLAITTIVU,28/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6363,MANNAR,28/10/2013,28.9,30.6,27.1,0.0,1010.5 Hpa,218º(SW),16,3/8,,SRI LANKA
6364,VAVUNIYA,28/10/2013,29.0,33.9,24.1,0.0,1010.7 Hpa,255º(W),4,3/8,,SRI LANKA
6365,TRINCOMALEE,28/10/2013,30.6,36.0,25.1,Tr,-,169º(S),6,5/8,,SRI LANKA
6366,ANURADHAPURA,28/10/2013,29.4,33.9,24.8,0.0,1010.9 Hpa,229º(SW),1,4/8,,SRI LANKA
6367,MAHA ILLUPPALLAMA,28/10/2013,28.1,32.7,23.5,0.0,1010.6 Hpa,214º(SW),5,5/8,,SRI LANKA
6368,PUTTALAM,28/10/2013,28.4,31.5,25.2,0.0,1010.4 Hpa,199º(S),6,4/8,,SRI LANKA
6369,BATTICALOA,28/10/2013,28.5,31.8,25.2,0.0,1010.3 Hpa,47º(NE),6,4/8,,SRI LANKA
6370,KURUNEGALA,28/10/2013,28.1,32.6,23.6,0.0,1010.4 Hpa,228º(SW),4,5/8,,SRI LANKA
6371,KANDY,28/10/2013,25.6,29.8,21.5,Tr,1011.1 Hpa,314º(NW),2,3/8,,SRI LANKA
6372,KATUNAYAKE,28/10/2013,26.9,28.6,25.1,-,1012.0 Hpa,230º(SW),1,5/8,,SRI LANKA
6373,COLOMBO,28/10/2013,28.3,30.9,25.7,0.0,1011.0 Hpa,230º(SW),3,6/8,,SRI LANKA
6374,RATMALANA,28/10/2013,28.6,31.7,25.4,0.0,1011.3 Hpa,211º(SW),7,4/8,,SRI LANKA
6375,NUWARA ELIYA,28/10/2013,16.8,22.6,10.9,1.2,1506 m(850 Hpa),270º(W),1,5/8,,SRI LANKA
6376,POTTUVIL,28/10/2013,29.6,31.4,27.8,-,1010.7 Hpa,185º(S),9,5/8,,SRI LANKA
6377,BANDARAWELA,28/10/2013,20.6,24.9,16.3,21.9,1526 m(850 Hpa),90º(E),1,5/8,,SRI LANKA
6378,BADULLA,28/10/2013,23.2,28.8,17.6,Tr,-,167º(S),2,5/8,,SRI LANKA
6379,RATNAPURA,28/10/2013,28.1,32.3,23.9,1.6,1011.1 Hpa,330º(NW),2,5/8,,SRI LANKA
6380,GALLE,28/10/2013,27.6,29.2,26.0,Tr,1011.5 Hpa,240º(SW),10,3/8,,SRI LANKA
6381,HAMBANTOTA,28/10/2013,28.1,30.6,25.5,0.0,1010.5 Hpa,230º(SW),13,3/8,,SRI LANKA
6382,KANKASANTURAI,29/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6383,JAFFNA,29/10/2013,28.6,31.6,25.6,0.0,1011.4 Hpa,227º(SW),5,6/8,,SRI LANKA
6384,MULLAITTIVU,29/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6385,MANNAR,29/10/2013,27.6,30.6,24.5,0.0,1011.5 Hpa,203º(SW),13,2/8,,SRI LANKA
6386,VAVUNIYA,29/10/2013,29.1,34.9,23.4,29.6,1011.5 Hpa,253º(W),4,4/8,,SRI LANKA
6387,TRINCOMALEE,29/10/2013,29.4,34.6,24.1,0.0,-,128º(SE),7,4/8,,SRI LANKA
6388,ANURADHAPURA,29/10/2013,28.9,34.2,23.7,Tr,1011.5 Hpa,230º(SW),2,3/8,,SRI LANKA
6389,MAHA ILLUPPALLAMA,29/10/2013,27.9,33.7,22.2,1.0,1011.3 Hpa,235º(SW),5,4/8,,SRI LANKA
6390,PUTTALAM,29/10/2013,28.1,31.8,24.3,Tr,1011.0 Hpa,193º(S),6,4/8,,SRI LANKA
6391,BATTICALOA,29/10/2013,28.4,31.9,24.8,0.0,1011.2 Hpa,79º(E),4,3/8,,SRI LANKA
6392,KURUNEGALA,29/10/2013,27.8,32.8,22.8,0.9,1010.9 Hpa,227º(SW),4,4/8,,SRI LANKA
6393,KANDY,29/10/2013,25.4,30.2,20.6,16.9,1011.6 Hpa,301º(NW),2,4/8,,SRI LANKA
6394,COLOMBO,29/10/2013,27.8,30.5,25.0,0.5,1011.5 Hpa,197º(S),3,5/8,,SRI LANKA
6395,RATMALANA,29/10/2013,28.2,31.7,24.7,0.5,1011.8 Hpa,207º(SW),4,5/8,,SRI LANKA
6396,NUWARA ELIYA,29/10/2013,16.2,21.2,11.2,5.4,1510 m(850 Hpa),213º(SW),2,4/8,,SRI LANKA
6397,POTTUVIL,29/10/2013,28.6,32.3,24.8,-,1011.0 Hpa,185º(S),5,3/8,,SRI LANKA
6398,BANDARAWELA,29/10/2013,20.9,25.0,16.9,1.2,1533 m(850 Hpa),137º(SE),5,6/8,,SRI LANKA
6399,BADULLA,29/10/2013,23.7,28.9,18.5,5.7,-,115º(SE),2,5/8,,SRI LANKA
6400,RATNAPURA,29/10/2013,28.1,33.4,22.8,5.5,1011.5 Hpa,355º(N),1,6/8,,SRI LANKA
6401,GALLE,29/10/2013,27.4,29.3,25.6,0.5,1011.9 Hpa,240º(SW),9,4/8,,SRI LANKA
6402,HAMBANTOTA,29/10/2013,28.1,30.5,25.7,0.0,1011.3 Hpa,254º(W),13,3/8,,SRI LANKA
6403,KANKASANTURAI,30/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6404,JAFFNA,30/10/2013,28.1,31.7,24.6,3.2,1011.7 Hpa,158º(S),4,6/8,,SRI LANKA
6405,MULLAITTIVU,30/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6406,MANNAR,30/10/2013,27.6,31.2,24.1,0.0,1011.6 Hpa,195º(S),4,4/8,,SRI LANKA
6407,VAVUNIYA,30/10/2013,27.8,32.9,22.6,34.0,1011.6 Hpa,270º(W),2,4/8,,SRI LANKA
6408,TRINCOMALEE,30/10/2013,28.5,32.5,24.5,Tr,-,1º(N),4,6/8,,SRI LANKA
6409,ANURADHAPURA,30/10/2013,28.1,33.0,23.3,0.0,1011.6 Hpa,229º(SW),2,5/8,,SRI LANKA
6410,MAHA ILLUPPALLAMA,30/10/2013,27.9,33.7,22.2,36.8,1011.4 Hpa,272º(W),3,5/8,,SRI LANKA
6411,PUTTALAM,30/10/2013,27.4,31.4,23.5,0.6,1011.2 Hpa,211º(SW),4,6/8,,SRI LANKA
6412,BATTICALOA,30/10/2013,27.9,31.0,24.8,0.0,1011.4 Hpa,35º(NE),4,6/8,,SRI LANKA
6413,KURUNEGALA,30/10/2013,27.4,32.6,22.3,17.3,1011.0 Hpa,222º(SW),3,5/8,,SRI LANKA
6414,KANDY,30/10/2013,23.8,29.1,18.4,89.8,-,24º(NE),2,5/8,,SRI LANKA
6415,COLOMBO,30/10/2013,26.5,30.8,22.2,7.1,1011.5 Hpa,203º(SW),3,6/8,,SRI LANKA
6416,RATMALANA,30/10/2013,27.8,31.5,24.0,21.6,1011.5 Hpa,110º(E),5,5/8,,SRI LANKA
6417,NUWARA ELIYA,30/10/2013,16.4,21.5,11.2,10.8,1507 m(850 Hpa),90º(E),2,7/8,,SRI LANKA
6418,POTTUVIL,30/10/2013,27.8,31.4,24.2,-,1011.0 Hpa,70º(E),2,4/8,,SRI LANKA
6419,BANDARAWELA,30/10/2013,20.2,24.5,16.0,57.4,1531 m(850 Hpa),135º(SE),7,5/8,,SRI LANKA
6420,BADULLA,30/10/2013,22.8,27.5,18.0,42.3,-,170º(S),5,6/8,,SRI LANKA
6421,RATNAPURA,30/10/2013,27.9,32.5,23.3,31.3,1011.5 Hpa,69º(E),1,7/8,,SRI LANKA
6422,GALLE,30/10/2013,27.3,30.2,24.4,53.4,1011.9 Hpa,314º(NW),6,6/8,,SRI LANKA
6423,HAMBANTOTA,30/10/2013,28.2,31.8,24.7,1.6,1011.3 Hpa,261º(W),10,4/8,,SRI LANKA
6424,KANKASANTURAI,31/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6425,JAFFNA,31/10/2013,27.8,31.4,24.1,0.0,1011.8 Hpa,53º(NE),7,6/8,,SRI LANKA
6426,MULLAITTIVU,31/10/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6427,MANNAR,31/10/2013,27.9,31.2,24.7,Tr,1011.3 Hpa,50º(NE),0,5/8,,SRI LANKA
6428,VAVUNIYA,31/10/2013,27.4,31.9,22.9,29.6,1011.7 Hpa,333º(NW),2,4/8,,SRI LANKA
6429,TRINCOMALEE,31/10/2013,28.1,32.0,24.3,0.0,-,2º(N),3,5/8,,SRI LANKA
6430,ANURADHAPURA,31/10/2013,27.9,32.7,23.2,3.9,1011.1 Hpa,230º(SW),1,6/8,,SRI LANKA
6431,MAHA ILLUPPALLAMA,31/10/2013,27.3,32.5,22.1,14.3,1011.4 Hpa,69º(E),2,7/8,,SRI LANKA
6432,PUTTALAM,31/10/2013,27.1,31.0,23.3,6.6,1010.9 Hpa,217º(SW),2,5/8,,SRI LANKA
6433,BATTICALOA,31/10/2013,27.9,31.0,24.7,0.0,1011.0 Hpa,54º(NE),3,2/8,,SRI LANKA
6434,KURUNEGALA,31/10/2013,26.4,31.0,21.9,22.8,1010.7 Hpa,224º(SW),2,7/8,,SRI LANKA
6435,KANDY,31/10/2013,24.1,28.1,20.2,13.4,1011.5 Hpa,338º(N),1,5/8,,SRI LANKA
6436,COLOMBO,31/10/2013,27.3,30.4,24.2,8.2,1011.0 Hpa,192º(S),3,7/8,,SRI LANKA
6437,RATMALANA,31/10/2013,27.6,31.4,23.9,50.6,1011.1 Hpa,39º(NE),5,6/8,,SRI LANKA
6438,NUWARA ELIYA,31/10/2013,16.4,20.5,12.3,4.6,1505 m(850 Hpa),90º(E),2,6/8,,SRI LANKA
6439,POTTUVIL,31/10/2013,28.1,31.1,25.0,-,1010.8 Hpa,166º(S),2,5/8,,SRI LANKA
6440,BANDARAWELA,31/10/2013,19.9,23.8,15.9,10.5,1528 m(850 Hpa),201º(S),5,6/8,,SRI LANKA
6441,BADULLA,31/10/2013,22.6,26.6,18.5,2.7,-,356º(N),2,7/8,,SRI LANKA
6442,RATNAPURA,31/10/2013,26.5,30.3,22.7,4.3,1011.2 Hpa,314º(NW),2,6/8,,SRI LANKA
6443,GALLE,31/10/2013,26.1,29.1,23.2,0.1,1011.4 Hpa,17º(N),6,6/8,,SRI LANKA
6444,HAMBANTOTA,31/10/2013,28.0,31.2,24.8,0.0,1011.0 Hpa,266º(W),8,3/8,,SRI LANKA
6445,KANKASANTURAI,01/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6446,JAFFNA,01/11/2013,28.2,31.6,24.9,0.0,1010.9 Hpa,53º(NE),7,6/8,,SRI LANKA
6447,MULLAITTIVU,01/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6448,MANNAR,01/11/2013,28.3,31.8,24.8,61.5,1010.5 Hpa,23º(NE),4,3/8,,SRI LANKA
6449,VAVUNIYA,01/11/2013,27.6,32.6,22.7,Tr,1009.9 Hpa,47º(NE),3,3/8,,SRI LANKA
6450,TRINCOMALEE,01/11/2013,28.8,32.6,25.0,0.5,-,61º(NE),5,4/8,,SRI LANKA
6451,ANURADHAPURA,01/11/2013,28.2,33.1,23.4,7.1,1010.6 Hpa,230º(SW),0,4/8,,SRI LANKA
6452,MAHA ILLUPPALLAMA,01/11/2013,27.8,32.8,22.7,0.3,1010.3 Hpa,17º(N),4,3/8,,SRI LANKA
6453,PUTTALAM,01/11/2013,27.6,31.3,24.0,12.1,1009.8 Hpa,47º(NE),2,5/8,,SRI LANKA
6454,BATTICALOA,01/11/2013,28.1,31.5,24.8,Tr,1010.1 Hpa,40º(NE),6,3/8,,SRI LANKA
6455,KURUNEGALA,01/11/2013,27.6,33.0,22.1,0.0,1009.1 Hpa,70º(E),2,4/8,,SRI LANKA
6456,KANDY,01/11/2013,25.8,30.8,20.8,0.9,1010.0 Hpa,90º(E),2,3/8,,SRI LANKA
6457,COLOMBO,01/11/2013,27.3,31.2,23.4,9.2,1009.9 Hpa,330º(NW),3,3/8,,SRI LANKA
6458,RATMALANA,01/11/2013,27.1,31.8,22.5,6.4,1010.0 Hpa,32º(NE),5,3/8,,SRI LANKA
6459,NUWARA ELIYA,01/11/2013,15.8,20.3,11.2,Tr,-,78º(E),7,4/8,,SRI LANKA
6460,POTTUVIL,01/11/2013,28.1,32.2,24.0,-,1009.5 Hpa,90º(E),4,4/8,,SRI LANKA
6461,BANDARAWELA,01/11/2013,19.9,24.6,15.3,2.5,1523 m(850 Hpa),24º(NE),3,4/8,,SRI LANKA
6462,BADULLA,01/11/2013,23.1,28.3,17.8,Tr,-,360º(N),1,3/8,,SRI LANKA
6463,RATNAPURA,01/11/2013,28.1,33.8,22.5,0.7,1010.1 Hpa,303º(NW),3,5/8,,SRI LANKA
6464,GALLE,01/11/2013,26.6,29.4,23.8,0.0,1010.4 Hpa,209º(SW),5,3/8,,SRI LANKA
6465,HAMBANTOTA,01/11/2013,28.2,32.3,24.1,0.3,1010.1 Hpa,220º(SW),6,3/8,,SRI LANKA
6466,KANKASANTURAI,02/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6467,JAFFNA,02/11/2013,28.1,30.8,25.3,9.3,1010.6 Hpa,44º(NE),7,7/8,,SRI LANKA
6468,MULLAITTIVU,02/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6469,MANNAR,02/11/2013,27.2,30.3,24.2,16.0,1010.0 Hpa,40º(NE),7,4/8,,SRI LANKA
6470,VAVUNIYA,02/11/2013,28.1,32.4,23.9,2.4,1010.3 Hpa,56º(NE),6,5/8,,SRI LANKA
6471,TRINCOMALEE,02/11/2013,29.2,32.8,25.7,7.1,-,66º(NE),6,7/8,,SRI LANKA
6472,ANURADHAPURA,02/11/2013,28.4,32.6,24.3,10.4,1010.2 Hpa,230º(SW),0,6/8,,SRI LANKA
6473,MAHA ILLUPPALLAMA,02/11/2013,27.8,31.7,23.8,13.9,1009.7 Hpa,102º(E),3,7/8,,SRI LANKA
6474,PUTTALAM,02/11/2013,28.0,32.3,23.7,4.7,1009.4 Hpa,16º(N),3,6/8,,SRI LANKA
6475,BATTICALOA,02/11/2013,28.9,31.6,26.1,42.6,1009.9 Hpa,86º(E),3,7/8,,SRI LANKA
6476,KURUNEGALA,02/11/2013,27.4,32.0,22.8,Tr,1008.7 Hpa,302º(NW),2,7/8,,SRI LANKA
6477,KANDY,02/11/2013,25.2,29.6,20.8,3.6,1009.7 Hpa,106º(E),2,6/8,,SRI LANKA
6478,COLOMBO,02/11/2013,27.3,30.7,23.9,18.0,1009.6 Hpa,163º(S),1,6/8,,SRI LANKA
6479,RATMALANA,02/11/2013,27.8,31.8,23.7,55.9,1009.8 Hpa,128º(SE),5,6/8,,SRI LANKA
6480,NUWARA ELIYA,02/11/2013,16.4,18.4,14.4,6.6,1493 m(850 Hpa),80º(E),10,8/8,,SRI LANKA
6481,POTTUVIL,02/11/2013,28.2,31.2,25.2,-,1009.5 Hpa,23º(NE),5,7/8,,SRI LANKA
6482,BANDARAWELA,02/11/2013,20.9,23.5,18.3,9.5,1520 m(850 Hpa),16º(N),6,6/8,,SRI LANKA
6483,BADULLA,02/11/2013,22.9,26.4,19.5,10.2,-,330º(NW),2,7/8,,SRI LANKA
6484,RATNAPURA,02/11/2013,27.2,31.6,22.9,4.2,1009.8 Hpa,160º(S),3,6/8,,SRI LANKA
6485,GALLE,02/11/2013,27.2,29.6,24.8,39.7,1009.8 Hpa,264º(W),3,6/8,,SRI LANKA
6486,HAMBANTOTA,02/11/2013,27.6,30.3,24.9,36.2,1009.6 Hpa,39º(NE),3,7/8,,SRI LANKA
6487,KANKASANTURAI,03/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6488,JAFFNA,03/11/2013,28.1,31.3,24.8,9.2,1010.9 Hpa,59º(NE),10,7/8,,SRI LANKA
6489,MULLAITTIVU,03/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6490,MANNAR,03/11/2013,27.9,31.0,24.9,5.1,1010.2 Hpa,50º(NE),14,3/8,,SRI LANKA
6491,VAVUNIYA,03/11/2013,27.8,32.5,23.0,34.6,1010.6 Hpa,80º(E),4,4/8,,SRI LANKA
6492,TRINCOMALEE,03/11/2013,28.5,32.3,24.7,14.1,-,92º(E),7,6/8,,SRI LANKA
6493,ANURADHAPURA,03/11/2013,28.1,32.2,24.0,0.0,1010.4 Hpa,230º(SW),1,5/8,,SRI LANKA
6494,MAHA ILLUPPALLAMA,03/11/2013,27.4,31.9,22.8,7.7,1010.1 Hpa,85º(E),6,5/8,,SRI LANKA
6495,PUTTALAM,03/11/2013,28.4,33.4,23.4,4.6,1009.3 Hpa,47º(NE),3,4/8,,SRI LANKA
6496,BATTICALOA,03/11/2013,27.9,31.8,23.9,13.0,1010.0 Hpa,73º(E),6,5/8,,SRI LANKA
6497,KURUNEGALA,03/11/2013,27.9,32.6,23.2,1.6,1008.7 Hpa,74º(E),2,5/8,,SRI LANKA
6498,KANDY,03/11/2013,26.0,29.9,22.1,1.4,1009.7 Hpa,140º(SE),2,6/8,,SRI LANKA
6499,COLOMBO,03/11/2013,27.0,30.6,23.4,1.6,1009.6 Hpa,222º(SW),3,6/8,,SRI LANKA
6500,RATMALANA,03/11/2013,27.3,31.2,23.4,4.0,1009.6 Hpa,234º(SW),4,6/8,,SRI LANKA
6501,NUWARA ELIYA,03/11/2013,16.2,18.4,14.0,10.2,1496 m(850 Hpa),74º(E),14,7/8,,SRI LANKA
6502,POTTUVIL,03/11/2013,29.6,31.8,27.4,-,1009.8 Hpa,50º(NE),6,7/8,,SRI LANKA
6503,BANDARAWELA,03/11/2013,20.4,23.5,17.4,6.7,1521 m(850 Hpa),90º(E),14,7/8,,SRI LANKA
6504,BADULLA,03/11/2013,23.4,27.1,19.8,13.2,-,41º(NE),3,7/8,,SRI LANKA
6505,RATNAPURA,03/11/2013,27.6,31.6,23.5,1.8,1009.6 Hpa,-,0,7/8,,SRI LANKA
6506,GALLE,03/11/2013,26.6,29.4,23.9,33.9,1010.0 Hpa,139º(SE),3,7/8,,SRI LANKA
6507,HAMBANTOTA,03/11/2013,27.9,31.6,24.3,29.7,1009.4 Hpa,40º(NE),8,6/8,,SRI LANKA
6508,KANKASANTURAI,04/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6509,JAFFNA,04/11/2013,28.0,31.3,24.7,3.1,1011.8 Hpa,91º(E),9,6/8,,SRI LANKA
6510,MULLAITTIVU,04/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6511,MANNAR,04/11/2013,28.2,31.4,25.0,0.0,1011.4 Hpa,66º(NE),13,4/8,,SRI LANKA
6512,VAVUNIYA,04/11/2013,27.9,32.5,23.4,3.1,1011.9 Hpa,47º(NE),4,5/8,,SRI LANKA
6513,TRINCOMALEE,04/11/2013,26.9,30.8,23.0,4.6,-,128º(SE),7,6/8,,SRI LANKA
6514,ANURADHAPURA,04/11/2013,28.2,32.7,23.7,0.3,1011.3 Hpa,229º(SW),3,6/8,,SRI LANKA
6515,MAHA ILLUPPALLAMA,04/11/2013,27.3,31.3,23.3,0.1,1011.0 Hpa,86º(E),7,6/8,,SRI LANKA
6516,PUTTALAM,04/11/2013,28.5,33.0,24.0,0.0,1010.3 Hpa,46º(NE),5,6/8,,SRI LANKA
6517,BATTICALOA,04/11/2013,27.6,31.4,23.8,0.5,1011.1 Hpa,80º(E),5,4/8,,SRI LANKA
6518,KURUNEGALA,04/11/2013,28.2,33.4,23.1,0.0,1009.6 Hpa,70º(E),3,5/8,,SRI LANKA
6519,KANDY,04/11/2013,26.4,30.9,21.9,Tr,1010.5 Hpa,102º(E),4,5/8,,SRI LANKA
6520,COLOMBO,04/11/2013,27.9,30.8,25.0,3.1,1010.4 Hpa,240º(SW),1,6/8,,SRI LANKA
6521,RATMALANA,04/11/2013,28.3,31.9,24.7,4.4,1010.5 Hpa,55º(NE),5,6/8,,SRI LANKA
6522,NUWARA ELIYA,04/11/2013,16.4,19.0,13.7,0.1,1504 m(850 Hpa),80º(E),18,7/8,,SRI LANKA
6523,POTTUVIL,04/11/2013,30.5,31.6,29.4,-,1011.0 Hpa,70º(E),5,4/8,,SRI LANKA
6524,BANDARAWELA,04/11/2013,20.6,23.9,17.2,1.6,1530 m(850 Hpa),59º(NE),10,6/8,,SRI LANKA
6525,BADULLA,04/11/2013,23.8,27.6,19.9,2.2,-,160º(S),4,6/8,,SRI LANKA
6526,RATNAPURA,04/11/2013,27.6,32.2,23.0,0.9,1010.3 Hpa,-,0,6/8,,SRI LANKA
6527,GALLE,04/11/2013,27.2,30.5,24.0,0.0,1010.6 Hpa,45º(NE),6,5/8,,SRI LANKA
6528,HAMBANTOTA,04/11/2013,27.8,31.5,24.0,0.0,1010.4 Hpa,38º(NE),11,3/8,,SRI LANKA
6529,KANKASANTURAI,05/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6530,JAFFNA,05/11/2013,28.0,30.7,25.3,1.7,1012.1 Hpa,80º(E),8,4/8,,SRI LANKA
6531,MULLAITTIVU,05/11/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
6532,MANNAR,05/11/2013,27.8,30.7,24.8,0.8,1011.8 Hpa,58º(NE),10,3/8,,SRI LANKA
6533,VAVUNIYA,05/11/2013,27.7,32.3,23.1,1.0,1012.0 Hpa,50º(NE),4,3/8,,SRI LANKA
6534,TRINCOMALEE,05/11/2013,27.2,30.5,24.0,10.3,-,78º(E),8,6/8,,SRI LANKA
6535,ANURADHAPURA,05/11/2013,27.3,30.6,24.0,Tr,1011.7 Hpa,230º(SW),2,5/8,,SRI LANKA
6536,MAHA ILLUPPALLAMA,05/11/2013,27.2,31.2,23.2,0.7,1011.6 Hpa,64º(NE),7,4/8,,SRI LANKA
6537,PUTTALAM,05/11/2013,28.6,32.8,24.3,0.0,1010.9 Hpa,53º(NE),4,4/8,,SRI LANKA
