LOCATION_ID,LATITUDE,LONGITUDE
14859,6.4098002304,80.1111556
14936,6.4098002304,80.802855224
14995,6.4098002304,81.332858832
15097,6.4187833424,79.994375144
15098,6.4187833424,80.003358256
15246,6.4187833424,81.332858832
15349,6.4277664544,80.003358256
15440,6.4277664544,80.820821448
15600,6.4367495664,80.003358256
15656,6.4367495664,80.506412528
15672,6.4367495664,80.65014232
15699,6.4367495664,80.892686344
15714,6.4367495664,81.027433024
15725,6.4367495664,81.126247256
15744,6.4367495664,81.296926384
15849,6.4457326784,79.985392032
15850,6.4457326784,79.994375144
15851,6.4457326784,80.003358256
15853,6.4457326784,80.02132448
15871,6.4457326784,80.183020496
16100,6.4547157904,79.985392032
16105,6.4547157904,80.030307592
16114,6.4547157904,80.1111556
16171,6.4547157904,80.623192984
16184,6.4547157904,80.73997344
16400,6.4636989024,80.42556452
16414,6.4636989024,80.551328088
16601,6.4726820144,79.97640892
16604,6.4726820144,80.003358256
16625,6.4726820144,80.192003608
16670,6.4726820144,80.596243648
16853,6.4816651264,79.985392032
16868,6.4816651264,80.120138712
16932,6.4816651264,80.69505788
17232,6.4906482384,81.135230368
17355,6.4996313504,79.985392032
17358,6.4996313504,80.012341368
17367,6.4996313504,80.093189376
17635,6.5086144624,80.24590228
17673,6.5086144624,80.587260536
17681,6.5086144624,80.659125432
17884,6.5175975744,80.227936056
17984,6.5175975744,81.126247256
18108,6.5265806864,79.985392032
18115,6.5265806864,80.048273816
18118,6.5265806864,80.075223152
18123,6.5265806864,80.120138712
18139,6.5265806864,80.263868504
18154,6.5265806864,80.398615184
18160,6.5265806864,80.452513856
18177,6.5265806864,80.60522676
18185,6.5265806864,80.677091656
18383,6.5355637984,80.20098672
18404,6.5355637984,80.389632072
18427,6.5355637984,80.596243648
18466,6.5355637984,80.946585016
18616,6.5445469104,80.039290704
18629,6.5445469104,80.15607116
18861,6.5535300224,79.985392032
18866,6.5535300224,80.030307592
18925,6.5535300224,80.5603112
19110,6.5625131344,79.967425808
19112,6.5625131344,79.985392032
