,cell,resident,work,LATITUDE,LONGITUDE,Date
198,10903,1803.0,317,6.266070438400001,80.65014232,2013-01-01
199,10911,1726.0,305,6.266070438400001,80.72200721600001,2013-01-01
200,10918,749.0,236,6.266070438400001,80.784889,2013-01-01
201,10973,617.0,90,6.266070438400001,81.27896016,2013-01-01
202,11087,5614.0,816,6.2750535504,80.048273816,2013-01-01
203,11092,6858.0,1089,6.2750535504,80.093189376,2013-01-01
204,11128,2831.0,332,6.2750535504,80.416581408,2013-01-01
205,11222,3252.0,632,6.2750535504,81.260993936,2013-01-01
206,11223,403.0,64,6.2750535504,81.269977048,2013-01-01
207,11225,2482.0,1175,6.2750535504,81.28794327199999,2013-01-01
208,11238,570.0,133,6.2750535504,81.40472372800001,2013-01-01
209,11361,1841.0,192,6.2840366624,80.25488539199999,2013-01-01
210,11393,4985.0,740,6.2840366624,80.54234497600001,2013-01-01
211,11424,2123.0,350,6.2840366624,80.820821448,2013-01-01
212,11601,8669.0,2270,6.2930197744,80.15607116,2013-01-01
213,11682,2181.0,335,6.2930197744,80.883703232,2013-01-01
214,11704,852.0,236,6.2930197744,81.081331696,2013-01-01
215,11858,2486.0,288,6.3020028863999995,80.209969832,2013-01-01
216,11884,4134.0,591,6.3020028863999995,80.443530744,2013-01-01
217,11901,1592.0,245,6.3020028863999995,80.596243648,2013-01-01
218,11946,6404.0,910,6.3020028863999995,81.000483688,2013-01-01
219,11960,830.0,511,6.3020028863999995,81.126247256,2013-01-01
220,11972,2331.0,309,6.3020028863999995,81.2340446,2013-01-01
221,12089,66.0,32,6.3109859984000005,80.030307592,2013-01-01
222,12090,5617.0,618,6.3109859984000005,80.039290704,2013-01-01
223,12096,3318.0,306,6.3109859984000005,80.093189376,2013-01-01
224,12120,738.0,92,6.3109859984000005,80.308784064,2013-01-01
225,12157,1978.0,604,6.3109859984000005,80.641159208,2013-01-01
226,12230,2391.0,341,6.3109859984000005,81.296926384,2013-01-01
227,12383,149.0,28,6.3199691104,80.416581408,2013-01-01
228,12431,7331.0,2003,6.3199691104,80.84777078399999,2013-01-01
229,12601,4072.0,415,6.3289522224,80.120138712,2013-01-01
230,12625,190.0,61,6.3289522224,80.33573340000001,2013-01-01
231,12632,1998.0,280,6.3289522224,80.398615184,2013-01-01
232,12842,2574.0,457,6.337935334400001,80.030307592,2013-01-01
233,12875,1030.0,241,6.337935334400001,80.326750288,2013-01-01
234,12901,2262.0,755,6.337935334400001,80.5603112,2013-01-01
235,12913,1193.0,143,6.337935334400001,80.66810854399999,2013-01-01
236,12933,28.0,28,6.337935334400001,80.84777078399999,2013-01-01
237,12934,1575.0,1963,6.337935334400001,80.856753896,2013-01-01
238,12985,89.0,33,6.337935334400001,81.31489260800001,2013-01-01
239,13099,5462.0,817,6.3469184464,80.084206264,2013-01-01
240,13114,2859.0,658,6.3469184464,80.218952944,2013-01-01
241,13150,4175.0,787,6.3469184464,80.54234497600001,2013-01-01
242,13175,3082.0,433,6.3469184464,80.766922776,2013-01-01
243,13183,1306.0,207,6.3469184464,80.838787672,2013-01-01
244,13222,1769.0,258,6.3469184464,81.18912904,2013-01-01
245,13358,72.0,9,6.3559015584,80.15607116,2013-01-01
246,13444,168.0,39,6.3559015584,80.928618792,2013-01-01
247,13455,2.0,5,6.3559015584,81.02743302399999,2013-01-01
248,13456,1386.0,175,6.3559015584,81.036416136,2013-01-01
249,13670,2010.0,250,6.3648846703999995,80.704040992,2013-01-01
250,13694,3376.0,704,6.3648846703999995,80.91963568,2013-01-01
251,13845,1308.0,179,6.3738677824000005,80.02132448,2013-01-01
252,13849,1688.0,203,6.3738677824000005,80.057256928,2013-01-01
253,14011,20.0,10,6.3738677824000005,81.512521072,2013-01-01
254,14095,1049.0,236,6.382850894400001,80.01234136800001,2013-01-01
255,14133,1908.0,446,6.382850894400001,80.353699624,2013-01-01
256,14161,1679.0,236,6.382850894400001,80.60522676,2013-01-01
257,14167,5074.0,1122,6.382850894400001,80.659125432,2013-01-01
258,14184,2110.0,362,6.382850894400001,80.81183833600001,2013-01-01
259,14241,3373.0,719,6.382850894400001,81.32387572,2013-01-01
260,14255,68.0,16,6.382850894400001,81.449639288,2013-01-01
